id,category,text,trans_text
769,service,"결과부터 말하자만 너무 기대가 컸던 탓인지 다시는 가고 싶지 않을 정도로 불쾌했다. 유선 상으로 문의할 때부터 아주머니의 쌀쌀 맞은 태도는 불쾌하기엔 충분했는데 도착 후 테이블 응대는 바쁘다는 말을 흘리며 한참 동안이나 주문을 받아주지 않았다. 하지만 음식이 맛있다면 모든게 상쇄될거라 생각했는데 그 역시 착각이었다. 음식 맛은 그저 그랬고, 서버의 응대도 그닥.. 이렇게 바쁘다면 최소한 손님을 제한하며 받든가 서버를 더 고용해야 하지 않을까.. 이런 리뷰를 남겨도 갈 사람은 갈테지만 누군가 이 곳을 방문하려 할 때 한 번 쯤이나마 고민해봤으면 하는 마음에 리뷰를 남긴다.","Let me tell you the results first, but I was so unpleasant that I didn't want to go again, maybe because I had high expectations. From the time I inquired on the wire, the lady's chilly attitude was enough to be unpleasant, but after arriving, she did not accept the order for a long time, saying that she was busy responding to the table. But I thought everything would be offset if the food was delicious, but he was also mistaken. The taste of the food was okay, and the response of the server was not good.. If you're this busy, shouldn't you at least limit the number of customers or hire more servers.. Even if you leave a review like this, you will go, but I leave a review in the hope that you will think about it at least once when someone tries to visit this place."
770,service,친절하시고 고기도 맛있어요,He's kind and the meat is good too
771,service,저녁 9인 예약하고 8인이 방문했습니다. 3/3/3 자리 셋팅으로 한명이 오지않아 한 자리를 안 쓰겠다고 했습니다. 주인인지 여직원분이 룸예약은 45만원치를 먹거나 미달시 5만원 차지라고 퉁명스러운 대답. 알겠다고 했습니다. 일행이 그릇을 문의 하니 저기 셋팅 되어있다고 퉁명스러운 대답에 죄송하다고 했습니다. 근데 네이버에는 30만원치 식사 미만시 3만원 차지.. 뭐가 불만이셔서 가격을 더 높게 부르시고 그렇게 퉁명스럽게 대하셨을까요? 식사는 40만원 넘게 먹고 왔습니다. 고기 맛있고 유명한 집은 손님을 이렇게 대우해도 되나봅니다. 고기도 맛있고 친절해서 가끔 방문했는데 더 이상 그렇지 않은 것 같네요. 다음 방문은 이제 모르겠습니다. ,"I made a reservation for 9 people in the evening and 8 people visited. I said I wouldn't use one seat because one person didn't come due to the 3/3/3 digit setting. A female employee who is the owner of the room said, ""If you eat 450,000 won worth of room reservations or fail to make it, you will get 50,000 won."" I said yes. When the group inquired about the bowl, they said they were sorry for the blunt answer that it was set over there. But on Naver, if you eat less than 300,000 won, you charge 30,000 won.. What's so frustrating that you're asking for a higher price and being so blunt  I ate more than 400,000 won. I guess this is how a famous restaurant with delicious meat treats customers. The meat was delicious and kind, so I visited it sometimes, but it doesn't seem like it anymore. I don't know about the next visit."
772,service,"서버분이 집기달라는 말에 한번에 좀 말씀해주시겠어요 하고 짜증내시는 부분에서, 이 가격에 직접 고기 굽고 서버분까지 불친절하네 라는 생각이들었네요. 같이간 지인분이 죄송하지만, 이라는 말까지 붙혀가면서 국자 좀 달라 하신건데 이게 자기가 잘못한거냐고 하실정도로 대놓고 짜증내셨어요. 서버일하는분께 서빙 부탁드리는게 잘못인가요? 상당히 기분나빴습니다 직원분들 교육 좀 시키세요 ","When the server asked me to pick it up, he said, ""Can you tell me at once?"" I thought that the server was unfriendly after grilling the meat at this price. An acquaintance who went with me said, ""I'm sorry, but I asked for a ladle, but he was so annoyed that he asked if it was his fault."" Is it wrong to ask the server worker to serve me? I was very upset Please train the staff"
773,service,매장이 청결하고 직원분들도 친절하고 고기도 맛있습니다. 특히 냄새가 옷에 남지않아 여성분들에게 특히나 좋습니다.,"The store is clean, the staff is kind, and the meat is delicious. It is especially good for women because the smell does not remain on their clothes."
774,service,"양도 많고 퀄리티 좋음
도끼살 + 양 세트 시켜서 먹었는데 둘이 왕 배부르게 먹었고 개인적으로 양고기가 너무너무 맛있었다 ㅎㅎ
서버분들 다 친절하시고 밑반찬이나 사이드디쉬까지 퀄리티 굿.. 성수 오면 또 방문할 의사 있음!!","It's a lot and high quality. I ordered ax meat and lamb. We were so full. Personally, the lamb was so good Haha. The servers are all kind and the side dishes and side dishes are of good quality.. Willing to visit again when Seongsu comes!!"
775,service,"정말 맛있게 먹었어요
그리고 종업원들도 너무 친절하셨어요!",I really enjoyed the meal. And the employees were so kind!
776,service,"고기 진짜 좋은거 사용하시네요 ??
소고기는 당연히 고소한 우유맛 나면서 감칠맛
대박이에요
소고기세트에 육회 포함되서 나오는데 
Wow 별미에요 
글구 수란청어알볶음밥 된장찌개랑 먹으니까
맛있네요 
주차는 오는순으로 자리 있음 가능하고요
2층은 회식이나 가족외식 할 수 있도록 공간도 
괜찮아요
일하시는 여자직원분 진짜 친절하세요
잘챙겨주셨어요","You use really good meat ??. Of course, beef tastes savory and savory. It's amazing. Beef tartare is included in the beef set. Wow, it's a delicacy. It's with poached herring roe fried rice and soybean paste stew. It's good. Parking is available in the order of arrival. On the second floor, there's a space for company dinners and family dinners. It's okay. The female employee is really kind. They took good care of me"
777,service,"맛도 맛있는데 일하시는 분께서 너무 친절하셔서 기분좋게 먹고 갑니다! 감사합니다 
성수고기집은 무조건 몽련!! ","It tastes good, but the worker was so kind that I ate it happily! Thank you. Seongsu meat restaurant is definitely Mongryeon!!"
778,service,"부부동반 4쌍 모임으로 몽련을 선택했는데
만족합니다.
고기,갈비,육회 전부 맛있게 잘 먹었어요!
서빙해주시는 분도 상당히 친절하다고 느꼈습니다?
","I chose Mongryeon as a group of four couples. I'm satisfied.. I enjoyed the meat, ribs, and raw beef! I felt that the person who served was also very kind. ?."
