id,category,text,trans_text
0,taste,"C세트로 주문해서 먹어봤어요.
모듬 샐러드에 리코타 치즈, 연어, 카프리제가 있었는데 너무 맛있었고, 꽃등심 스테이크도 매우 부드럽고 맛있었어요!
파스타는 해산물 토마토 파스타인데, 적절히 매콤하면서 해산물 양이 많고 신선해서 좋았습니당!
특별한 날에 와인이랑 먹는 걸 추천드려요!","I ordered C set and tried it.. There was ricotta cheese, salmon, and caprije in the assorted salad, and it was so delicious, and the rib eye steak was very soft and delicious! Pasta is seafood tomato pasta, and it was good because it was spicy and fresh with a lot of seafood! I recommend drinking wine on a special day!"
1,taste,"로제파스타랑 찹스테이크 모두 가격대비 양이 많고 간이 쎄지 않아서 맛있었습니다 !
찹스테이크는 먹어본 곳 중 제일 맛있다고 느낄 정도로 간이나 식감이 적당해서 추천합니다 :)
그리고 식전빵으로 나온 빵은 버터향이 가득해서 좋았어요! 다음에도 방문 의사 있습니다 ??","Both ros? pasta and chop steak were delicious because they were not salty enough for the price! I recommend chop steak because it has just enough liver and texture to make me feel the most delicious place I've ever eaten :). And the bread that came out as a pre-ceremony was full of butter, so I liked it! I'll visit again next time ??"
2,taste,전에 왔었는데 좋았던 기억이 있어서 한번 더 방문하게 됐어요..!!! 역시나 맛있네요 히히???다른 곳 가면 스테이크 질긴 곳도 많은데 스테이크도 질기지 않고 부드러워서 좋았어요!! 다음에 또 서울숲역 오면 재방문 의사 100%입니당? 맛있게 잘 먹었어요!,"I came here before, but I had a good memory, so I visited again. As expected, it's delicious Hehe ??? There are a lot of tough steaks in other places, but I liked the steaks because they were not tough and soft!! Next time I come to Seoul Forest Station, I'm 100% willing to revisit. ? Thank you for the delicious food!"
3,taste,매장 분위기도 좋고 인테리어가 예뻐요!! 테이블 간격도 넓어서 특별한 날 가기 좋을 것 같아요♥? 음식도 맛있고 가성비도 괜찮습니다아~!! ,"The atmosphere of the store is good and the interior is pretty!! The table is wide, so it's good to go on a special day♥? The food is delicious and the cost-effectiveness is good!!"
4,taste,양갈비 스테이크가 진짜 맛있어요!! 성수 주차 힘든데 엠타워에 1시간 무료이고 주차비도 저렴해서 가족 모임 하기 좋았습니다??,"The lamb steak is really good!! It was hard to park in Seongsu, but it was good to have a family meeting because M Tower was free for an hour and parking was cheap??"
5,taste,식전빵부터 그냥 베이커리빵이라고 해도 믿을정도로 너무 맛있었어요!!! 봉골레 파스타랑 토마토해산물파스타 둘다 비교할거없이 너무너무 맛있게 먹었습니다 표현력이 부족해서 더 표현하지 못하는게 아쉬울정도예요 ㅠㅠ 그냥 다른말 필요없이 정말 맛있습니다 !!!ㅠㅠ 개인적으로 서울에서 먹어본 파스타집중에 제일!! 맛있었어요!! 서울숲근처 올때마다 다른메뉴 또 먹으러 오려구요!! :),"It was so delicious that you can believe it's just a bakery bread!!! Vongole pasta and tomato seafood pasta. I enjoyed both It's sad that I can't express it more because I don't have enough expression ㅠㅠ????? It's really delicious without any other words!!!Personally, this is the best pasta restaurant I've ever had in Seoul!! It was delicious!! Whenever I come near Seoul Forest, I'm going to eat another menu!! :)"
6,taste,분위기도 깔끔하고 부채살 스테이크랑 해산물파스타가 정말정말 맛있습니다????플레이팅도 예쁜데 굽기도 적당하고 파스타도 매콤하니 다음에 또 올것같아요!! 연인이랑 서울숲 산책하고 저녁으로 먹기 아주 좋았습니다ㅎㅎ,"The atmosphere is clean, and the steak and seafood pasta are really good???? The plating is pretty, but it's just right to grill and the pasta is spicy, so I think I'll come back next time!! It was great to take a walk in Seoul Forest with your lover and eat it for dinnerHaha"
7,taste,서울숲 근처에 주차하기 편한 식당이 많지 않아요~ 여기는 지하주차공간이 넓어서 자타고 올때 항상 들려요! 파스타도 양도 많고 맛있어서 항상 맛있게 먹고 가요:),"There aren't many convenient restaurants to park near Seoul Forest There is a large underground parking space here, so I always stop by when I come by! The pasta is a lot and delicious, so I always eat it deliciously"
8,taste,"친구랑 둘이서 세트 A를 시켰는데 너무너무 만족해용
스테이크도 질기지 않고 적당히 부드러워서 좋았어요ㅎ 스파게티도 역시 존맛!!
식전빵과 나오는 모둠샐러드는 연어와 치즈의 궁합이 완전 천생연분*^^* 너무 맛있어요!! 
재방문의사 x10000??
서울숲에 데이트하러 오신분들께 추천추천!!
★★★★★","I ordered Set A with my friend, but I'm so satisfied. I liked the steak because it wasn't tough and was moderately soft. Spaghetti is also very delicious! The combination of salmon and cheese in the assorted salad served with pre-ceremony bread is a perfect match*^^* so delicious!! . Revisit doctor x10000??. Recommended for those who come to Seoul Forest on a date! ★★★★★"
9,taste,까르보나라 전혀 느끼하지 않고 너무 맛있고 알리오올리오는 약간 더 매콤하게 부탁드리면 더 맛있는 것 같습니다!! ㅎㅎ 그리고 연어샐러드가 진짜 도른놈이에요..... 꼭 시키세요 먹어본 훈제연어 중 젤 맛있었어요??? 특별한 날 오기 좋아요! 다음엔 스테이크도 먹어보려구요 ㅎㅎ,"Carbonara is not greasy at all, it's so delicious, and aglio e olio is more delicious if you ask for it to be spicy!! And salmon salad is really crazy... Make sure to order it It was the best smoked salmon I've ever had??? Nice to come on a special day! I'm going to try steak next time"
